id,code,affiliate_name,abbreviation,location,num_department,num_authors,SINTA_score_3yr,SINTA_score_overall
540,005003,Politeknik Negeri Medan,POLMED,"KOTA MEDAN - SUMATERA UTARA, ID",30,390,48.453,115.745
2102,072002,Institut Teknologi Adhi Tama Surabaya,ITATS,"KOTA SURABAYA - JAWA TIMUR, ID",16,155,48.437,137.924
1114,032011,Institut Keuangan-Perbankan Dan Informatika Asia Perbanas,IKPIA PERBANAS,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",12,132,47.845,70.632
524,001060,Universitas Timor,UNIMOR,"KAB. TIMOR TENGAH UTARA - NUSA TENGGARA TIMUR, ID",16,309,47.135,88.030
3515,201006,Universitas Islam Negeri Alauddin Makassar,UINAM,"KAB. GOWA - SULAWESI SELATAN, ID",69,878,46.579,105.844
4431,405020,Poltekkes Kemenkes Kupang,POLTEKKES KUPANG,"KOTA KUPANG - NUSA TENGGARA TIMUR, ID",15,218,46.433,79.058
125,061047,Universitas Duta Bangsa Surakarta,UDB,"KOTA SURAKARTA - JAWA TENGAH, ID",20,175,46.279,73.977
3514,201005,Universitas Islam Negeri Sultan Syarif Kasim Riau,UIN SUSKA RIAU,"KAB. KAMPAR - RIAU, ID",56,741,46.117,111.575
4428,405017,Poltekkes Kemenkes Malang,POLKESMA,"KOTA MALANG - JAWA TIMUR, ID",24,262,46.052,83.108
3542,202038,Institut Agama Islam Negeri ParePare,IAIN PAREPARE,"KOTA PARE PARE - SULAWESI SELATAN, ID",33,243,45.692,76.034
561,005026,Politeknik Negeri Samarinda,POLNES,"KOTA SAMARINDA - KALIMANTAN TIMUR, ID",31,303,45.628,106.885
59,061029,Universitas Stikubank,UNISBANK,"KOTA SEMARANG - JAWA TENGAH, ID",14,130,45.458,97.782
1090,031045,Universitas Budi Luhur,UBL,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",22,385,45.395,102.050
8258,011050,Universitas HKBP Nommensen Pematangsiantar,UHKBPNP,"KOTA PEMATANGSIANTAR - SUMATERA UTARA, ID",16,129,44.908,75.955
405,031009,Universitas Kristen Indonesia,UKI,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",33,313,44.851,106.309
397,051005,Universitas Atma Jaya Yogyakarta,UAJY,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",26,363,44.481,112.202
851,021019,Universitas Bina Darma,UBD,"KOTA PALEMBANG - SUMATERA SELATAN, ID",23,188,44.217,98.875
2381,151001,Universitas Katolik Widya Mandira Kupang,UNWIRA,"KOTA KUPANG - NUSA TENGGARA TIMUR, ID",23,259,44.118,77.635
854,021023,Universitas Dehasen Bengkulu,UNIVED,"KOTA BENGKULU - BENGKULU, ID",25,235,44.110,115.974
19,061012,Universitas Katolik Soegijapranata,UNIKA,"KOTA SEMARANG - JAWA TENGAH, ID",29,252,44.002,128.487
2064,071104,Universitas Abdurachman Saleh Situbondo,-,"KAB. SITUBONDO - JAWA TIMUR, ID",11,101,43.810,69.119
1917,051025,Universitas Jenderal Achmad Yani Yogyakarta,UNJAYA,"KOTA YOGYAKARTA - DAERAH ISTIMEWA YOGYAKARTA, ID",17,166,43.796,75.304
2919,101039,Universitas PGRI Sumatera Barat,UPGRISBA,"KOTA PADANG - SUMATERA BARAT, ID",23,246,43.526,89.444
1418,041030,Universitas Suryakancana,UNSUR,"KAB. CIANJUR - JAWA BARAT, ID",18,144,43.266,97.783
2099,071072,Universitas Nusantara PGRI Kediri,UN PGRI KEDIRI,"KOTA KEDIRI - JAWA TIMUR, ID",24,237,43.085,94.476
506,001045,Universitas Papua,UNIPA,"KAB. MANOKWARI - PAPUA BARAT, ID",66,574,42.610,122.946
8244550,171040,Universitas Hang Tuah Pekanbaru,-,"KOTA PEKANBARU - RIAU, ID",12,148,42.421,80.418
552,005015,Politeknik Negeri Banjarmasin,POLIBAN,"KOTA BANJARMASIN - KALIMANTAN SELATAN, ID",21,218,41.985,78.596
832,021001,Universitas Muhammadiyah Palembang,UM PALEMBANG,"KOTA PALEMBANG - SUMATERA SELATAN, ID",34,426,41.851,94.273
513,001051,Universitas Musamus Merauke,UNMUS,"KAB. MERAUKE - P A P U A, ID",29,460,41.788,88.867
4422,405011,Poltekkes Kemenkes Bandung,POLITEKNIK KESEHATAN KEMENKES BANDUNG,"KOTA BANDUNG - JAWA BARAT, ID",21,283,41.494,74.665
835,021004,Universitas Muhammadiyah Metro,UM METRO,"KOTA METRO - LAMPUNG, ID",34,219,41.232,104.463
543,005007,Politeknik Negeri Lampung,POLINELA,"KOTA BANDAR LAMPUNG - LAMPUNG, ID",42,394,40.995,85.908
8359,041068,Universitas Bhakti Kencana,BHAKTI KENCANA UNIVERSITY,"KOTA BANDUNG - JAWA BARAT, ID",24,221,40.724,69.501
1412,041024,Universitas Garut,UNIGA,"KAB. GARUT - JAWA BARAT, ID",30,250,40.543,77.771
1106,031062,Universitas Pertamina,UPER,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",16,163,40.442,106.064
16,061003,Universitas 17 Agustus 1945 Semarang,UNTAG SEMARANG,"KOTA SEMARANG - JAWA TENGAH, ID",19,226,40.209,88.437
25,061011,Universitas Pekalongan,UNIKAL,"KOTA PEKALONGAN - JAWA TENGAH, ID",19,152,40.175,93.235
201,201010,Universitas Islam Negeri Walisongo Semarang,UIN WALISONGO,"KOTA SEMARANG - JAWA TENGAH, ID",50,651,40.141,77.940
1406,041018,Universitas Islam 45,UNISMA 45,"KOTA BEKASI - JAWA BARAT, ID",27,211,40.023,72.087
2366,081004,Universitas Pendidikan Nasional,UNDIKNAS,"KOTA DENPASAR - BALI, ID",18,212,39.423,69.621
190,201021,Universitas Islam Negeri Raden Mas Said Surakarta,UIN SURAKARTA,"KAB. SUKOHARJO - JAWA TENGAH, ID",42,387,39.271,79.411
955,021031,Universitas Aisyah Pringsewu,UAP,"KAB. PRINGSEWU - LAMPUNG, ID",19,156,38.921,54.103
2389,081029,Universitas Dhyana Pura,UNDHIRA,"KAB. BADUNG - BALI, ID",18,145,38.827,68.433
11,002008,Institut Seni Indonesia Surakarta,ISI SURAKARTA,"KOTA SURAKARTA - JAWA TENGAH, ID",22,292,38.429,82.384
842,021010,Universitas Muhammadiyah Bengkulu,UMB,"KOTA BENGKULU - BENGKULU, ID",28,293,38.273,84.901
4515,041065,Universitas Bina Bangsa,UNIBA,"KOTA SERANG - BANTEN, ID",35,336,38.005,64.571
1089,031044,Universitas Al-Azhar Indonesia,UAI,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",25,179,37.761,82.710
2129,072015,Institut Ilmu Kesehatan Bhakti Wiyata Kediri,IIK BHAKTA,"KOTA KEDIRI - JAWA TIMUR, ID",22,220,37.700,69.654
2419,081040,Universitas Bumigora,UBG,"KOTA MATARAM - NUSA TENGGARA BARAT, ID",20,217,37.570,61.060
24,061030,Universitas Sains Alqur an,UNSIQ WONOSOBO,"KAB. WONOSOBO - JAWA TENGAH, ID",27,203,37.512,82.142
1155,033066,Sekolah Tinggi Ilmu Ekonomi Trisakti,STIE TRISAKTI,"KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",2,123,37.461,56.609
578,011001,Universitas Islam Sumatera Utara,UISU,"KOTA MEDAN - SUMATERA UTARA, ID",38,338,37.243,71.600
2072,071044,Universitas Muhammadiyah Ponorogo,UMPO,"KAB. PONOROGO - JAWA TIMUR, ID",27,200,37.092,108.909
231,065012,Politeknik Harapan Bersama,POLTEK HARBER,"KOTA TEGAL - JAWA TENGAH, ID",13,143,36.752,72.566
841,021009,Universitas Malahayati,-,"KOTA BANDAR LAMPUNG - LAMPUNG, ID",20,280,36.740,102.706
1404,041015,Universitas Langlang Buana,UNLA,"KOTA BANDUNG - JAWA BARAT, ID",23,263,36.533,129.016
1399,041009,Universitas Swadaya Gunung Jati,UGJ,"KOTA CIREBON - JAWA BARAT, ID",28,358,36.490,108.407
530,002005,Institut Seni Indonesia Yogyakarta,ISI YOGYAKARTA,"KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",29,409,36.209,96.348
2550,091024,Universitas Muhammadiyah Pare-pare,UMPAR,"KOTA PARE PARE - SULAWESI SELATAN, ID",27,215,35.971,82.998
3544,201027,Universitas Islam Negeri Sjech M. Djamil Djambek Bukittinggi,UIN BUKITTINGGI,"KAB. AGAM - SUMATERA BARAT, ID",36,236,35.755,55.204
2905,171018,Universitas Muhammadiyah Riau,UMRI,"KOTA PEKANBARU - RIAU, ID",32,249,35.605,68.864
2397,081045,Universitas Pendidikan Mandalika,UNDIKMA,"KOTA MATARAM - NUSA TENGGARA BARAT, ID",23,317,35.528,105.386
2357,072026,"Institut Teknologi, Sains, dan Kesehatan RS.DR. Soepraoen Kesdam V/BRW",ITSK SOEPRAOEN,"KOTA MALANG - JAWA TIMUR, ID",16,87,35.160,50.609
1393,041003,Universitas Islam Nusantara,UNINUS,"KOTA BANDUNG - JAWA BARAT, ID",27,238,35.051,92.591
2546,091020,Universitas Kristen Indonesia Toraja,UKI TORAJA,"KAB. TANA TORAJA - SULAWESI SELATAN, ID",18,180,34.248,60.895
2900,101012,Universitas Putra Indonesia Yptk Padang,UPIYPTK,"KOTA PADANG - SUMATERA BARAT, ID",17,356,34.157,76.221
84,061016,Universitas Veteran Bangun Nusantara,UNIVET BANTARA,"KAB. SUKOHARJO - JAWA TENGAH, ID",27,165,34.147,75.271
1074,031026,Universitas YARSI,-,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",16,272,34.087,94.551
2394,081035,Universitas Hamzanwadi,HAMZANWADI,"KAB. LOMBOK TIMUR - NUSA TENGGARA BARAT, ID",27,279,34.087,69.733
8424,061052,Universitas Muhammadiyah Pekajangan Pekalongan,-,"KAB. PEKALONGAN - JAWA TENGAH, ID",19,121,34.020,49.321
369,061057,Universitas 'Aisyiyah Surakarta,-,"KOTA SURAKARTA - JAWA TENGAH, ID",10,78,33.785,52.160
1062,031014,Universitas Prof Dr Moestopo (Beragama),UPDM(B),"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",13,184,33.599,70.804
184,201020,Universitas Islam Negeri Profesor Kiai Haji Saifuddin Zuhri Purwokerto,UIN SAIZU PURWOKERTO,"KAB. BANYUMAS - JAWA TENGAH, ID",36,291,33.442,66.044
2889,101001,Universitas Bung Hatta,UBH,"KOTA PADANG - SUMATERA BARAT, ID",35,280,33.346,93.438
1477,042012,Institut Keguruan dan Ilmu Pendidikan Siliwangi,IKIP SILIWANGI,"KOTA CIMAHI - JAWA BARAT, ID",13,184,33.187,84.519
1882,051020,Universitas Respati Yogyakarta,UNRIYO,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",18,165,33.043,68.177
2088,071061,Universitas Tribhuwana Tungga Dewi,UNITRI,"KOTA MALANG - JAWA TIMUR, ID",18,195,32.952,86.769
1319,041051,Universitas Muhammadiyah Tangerang,UMT,"KOTA TANGERANG - BANTEN, ID",34,419,32.931,67.876
8270,091056,Universitas Megarezky,UNIMERZ,"KOTA MAKASSAR - SULAWESI SELATAN, ID",33,317,32.800,57.433
3133,111001,Universitas 17 Agustus 1945 Samarinda,UNTAG SAMARINDA,"KOTA SAMARINDA - KALIMANTAN TIMUR, ID",13,168,32.620,73.788
1417,041029,Universitas Muhammadiyah Cirebon,-,"KAB. CIREBON - JAWA BARAT, ID",23,198,32.586,70.420
1184,032031,Institut Pariwisata Trisakti,IP TRISAKTI,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",7,83,32.538,60.976
593,011016,Universitas Asahan,UNIVERSITAS ASAHAN,"KAB. ASAHAN - SUMATERA UTARA, ID",14,133,32.020,56.505
1659,041067,Universitas Nusa Putra,NPU,"KAB. SUKABUMI - JAWA BARAT, ID",13,248,31.900,72.459
1200,031064,Universitas Binawan,-,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",14,141,31.846,63.660
2906,171019,Universitas Putera Batam,UPB,"KOTA BATAM - KEPULAUAN RIAU, ID",10,93,31.808,89.939
2117,071088,Universitas Nahdlatul Ulama Sunan Giri,UNUGIRI,"KAB. BOJONEGORO - JAWA TIMUR, ID",18,146,31.805,49.392
2428,082010,Institut Teknologi dan Bisnis STIKOM Bali,ITB STIKOM BALI,"KOTA DENPASAR - BALI, ID",6,211,31.731,84.260
512,071011,Universitas Wijaya Putra,UWP,"KOTA SURABAYA - JAWA TIMUR, ID",14,156,31.681,67.940
3527,201017,Universitas Islam Negeri Antasari Banjarmasin,UIN ANTASARI,"KOTA BANJARMASIN - KALIMANTAN SELATAN, ID",40,359,31.656,58.478
2074,071046,Universitas Bojonegoro,-,"KAB. BOJONEGORO - JAWA TIMUR, ID",9,96,31.454,54.426
2078,071103,Universitas PGRI Kanjuruhan Malang,UNIKAMA,"KOTA MALANG - JAWA TIMUR, ID",25,196,31.267,86.476
1099,031053,Universitas Bakrie,-,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",12,104,31.216,71.983
4781,021028,Universitas Teknokrat Indonesia,UTI,"KOTA BANDAR LAMPUNG - LAMPUNG, ID",15,158,30.986,67.989
8244628,201028,Universitas Islam Negeri K.H. Abdurrahman Wahid Pekalongan,-,"KAB. PEKALONGAN - JAWA TENGAH, ID",29,282,30.661,59.367
2390,081030,Universitas Teknologi Sumbawa,UTS,"KAB. SUMBAWA - NUSA TENGGARA BARAT, ID",33,245,30.413,57.958
2067,071039,Universitas Kadiri,UNIK,"KOTA KEDIRI - JAWA TIMUR, ID",25,262,30.335,68.122
2533,161002,Universitas Klabat,UNKLAB,"KAB. MINAHASA UTARA - SULAWESI UTARA, ID",17,134,30.061,49.942
3143,111013,Universitas Muhammadiyah Pontianak,UMP,"KOTA PONTIANAK - KALIMANTAN BARAT, ID",16,143,29.981,68.805
